item_section,count
8k_2-2,250
8k_5-2,100
8k_8-1,90
8k_1-1,80
8k_7-1,80
8k_2-3,50
8k_2-1,40
8k_5-7,40
8k_2-2;8k_8-1,40
8k_1-1;8k_2-3,30
