item_section,count
8k_2-2,250
8k_5-2,150
8k_8-1,120
8k_1-1,120
8k_7-1,100
8k_2-3,70
8k_5-7,60
8k_2-1,50
8k_1-2,40
8k_5-3,30
8k_2-2;8k_7-1,60
8k_1-1;8k_2-3,40
8k_2-2;8k_8-1,40
